gkg_record_id,date,source,document_url,headline,retrieval_bucket,human_label,notes
20240108081500-715,20240108081500,bnnbloomberg.ca,https://www.bnnbloomberg.ca/indian-stocks-get-first-etf-in-gulf-region-as-uae-deepens-ties-1.2019013,Indian Stocks Get First ETF in Gulf Region as UAE Deepens Ties,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108083000-678,20240108083000,rttnews.com,https://www.rttnews.com/3415082/sensex-nifty-may-open-on-flat-note-as-investors-await-q3-earnings.aspx,"Sensex, Nifty May Open On Flat Note As Investors Await Q3 Earnings",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108083000-822,20240108083000,rttnews.com,https://www.rttnews.com/3415090/sensex-nifty-struggle-for-direction-in-early-trade.aspx,"Sensex, Nifty Struggle For Direction In Early Trade",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108110000-992,20240108110000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/sensex-plunges-671-points-5-factors-that-triggered-bear-grip-on-dalal-street/articleshow/106636658.cms,sensex today: Sensex crashes 671 points; 5 reasons why bears growled on D-Street today,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108110000-8,20240108110000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/08/del46-biz-stocks-close.html,Sensex Nifty tumble nearly 1 pc on global weakness,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108114500-815,20240108114500,indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/stock-market-today-bse-sensex-nifty50-top-reasons-for-dalal-street-plunging-on-january-8-2024/articleshow/106637026.cms,Stock Market Today BSE Sensex Nifty50 Top Reasons For Dalal Street Plunging On January 8 2024 | India Business News,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108120000-912,20240108120000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-97/articleshow/106638776.cms,Indices: Stock market update: Nifty IT index falls 0.97%,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108121500-1227,20240108121500,thehindu.com,https://www.thehindu.com/business/markets/sensex-nifty-tumble-nearly-1-on-global-weakness/article67719032.ece,"Sensex, Nifty tumble nearly 1% on global weakness",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108130000-169,20240108130000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-tumbles-670-points-to-settle-at-71355-nifty-falls-197-points-to-21513/cid/1992393,"Stock market | Sensex tumbles 670 points to settle at 71,355; Nifty falls 197 points to 21,513",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108130000-974,20240108130000,hindustantimes.com,https://www.hindustantimes.com/business/why-did-sensex-crash-by-670-points-here-are-5-possible-reasons-101704710531889.html,Why did Sensex crash by 670 points? Here are 5 possible reasons,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108131500-390,20240108131500,theweek.in,https://www.theweek.in/news/biz-tech/2024/01/08/sensex-nifty-tumble-nearly-1-per-cent-on-global-weakness.html,"Sensex, Nifty tumble nearly 1 per cent on global weakness",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108133000-1732,20240108133000,india.com,https://zeenews.india.com/markets/sensex-nifty-tumble-nearly-1-on-global-weakness-2707451.html,"Sensex, Nifty Tumble Nearly 1% On Global Weakness",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108140000-259,20240108140000,indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/apple-google-play-store-block-two-e-sim-apps-in-india-it-firms-stare-at-soft-q3/articleshow/106641875.cms,"Apple, Google block e-SIM apps in India; IT firms stare at soft Q3",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108140000-1102,20240108140000,zawya.com,https://www.zawya.com/en/wealth/alternative-investments/abu-dhabis-lunate-capital-launches-first-shariah-compliant-india-etf-a5bt3p0f,Abu Dhabi's Lunate Capital launches first Shariah-compliant India ETF,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108143000-915,20240108143000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/investors-wealth-erodes-by-rs-2-91-lakh-cr-as-markets-tumble/articleshow/106643046.cms,Investors' wealth erodes by Rs 2.91 lakh cr as markets tumble,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108144500-1219,20240108144500,ndtv.com,https://www.ndtv.com/india-news/india-tech-valuations-put-to-the-test-as-earnings-remain-under-pressure-4823552,India Tech Valuations Put To The Test As Earnings Remain Under Pressure,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108150000-9,20240108150000,theweek.in,https://www.theweek.in/wire-updates/business/2024/01/08/del65-biz-stocks-wealth.html,Investors' wealth erodes by Rs 2.91 lakh cr as markets tumble,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108150000-251,20240108150000,tribuneindia.com,https://www.tribuneindia.com/news/business/sensex-nifty-snaps-two-day-winning-streak-tumble-nearly-1-per-cent-on-global-weakness-579407,"Sensex, Nifty snap two-day winning streak, tumble nearly 1 per cent on global weakness",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108151500-685,20240108151500,telegraphindia.com,https://www.telegraphindia.com/business/sensex-tumbles-670-points-to-settle-at-71355-nifty-falls-197-points-to-21513/cid/1992393,"Stock market | Sensex tumbles 670 points to settle at 71,355; Nifty falls 197 points to 21,513",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108154500-2116,20240108154500,rediff.com,https://www.rediff.com/business/report/sensex-pares-losses-still-ends-down-671-points/20240108.htm,"Sensex pares losses, still ends down 671 points",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108160000-1717,20240108160000,financialexpress.com,https://www.financialexpress.com/market/investors-wealth-erodes-by-rs-2-91-lakh-crore-as-markets-tumble-3358961/,Investors' wealth erodes by Rs 2.91 lakh crore as markets tumble - Market News,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108174500-T2158,20240108174500,interfax.ru,https://www.interfax.ru/business/939296,Собрание акционеров TCS Group по вопросу редомициляции перенесено на неделю,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240108213000-T1714,20240108213000,kommersant.ru,https://www.kommersant.ru/doc/6443049,Собрание акционеров TCS Group по вопросу редомициляции перенесено на 15 января,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240108223000-1489,20240108223000,prnewswire.com,https://www.prnewswire.com/news-releases/connected-logistics-market-size-to-increase-by-usd-62-29-billion-during-2023-2027--effective-management-of-temperature-sensitive-products-to-drive-the-growth---technavio-302027957.html,"Connected Logistics Market size to increase by USD 62.29 billion during 2023-2027, Effective management of temperature-sensitive products to drive the growth",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108224500-1388,20240108224500,itnewsonline.com,http://www.itnewsonline.com/PRNewswire/Connected-Logistics-Market-size-to-increase-by-USD-62.29-billion-during-2023-2027-Effective-management-of-temperature-sensitive-products-to-drive-the-growth---Technavio/964358,"Connected Logistics Market size to increase by USD 62.29 billion during 2023-2027, Effective management of temperature-sensitive products to drive the growth",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240108231500-T1191,20240108231500,quote.rbc.ru,https://quote.rbc.ru/news/article/659b9b989a7947fd4ff4389d,Собрание акционеров TCS Group по вопросу перерегистрации с Кипра в Россию перенесено на 15 января,BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240109000000-242,20240109000000,lelezard.com,https://www.lelezard.com/en/news-21209476.html,"Connected Logistics Market size to increase by USD 62.29 billion during 2023-2027, Effective management of temperature-sensitive products to drive the growth",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109004500-911,20240109004500,dailyexcelsior.com,https://www.dailyexcelsior.com/sensex-nifty-tumble-nearly-1-pc-on-global-weakness/,"Sensex, Nifty tumble nearly 1 pc on global weakness",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109004500-914,20240109004500,navhindtimes.in,https://www.navhindtimes.in/2024/01/09/business/investors-wealth-erodes-by-rs-2-91-lakh-cr-as-markets-tumble/,Investors' wealth erodes by Rs 2.91 lakh cr as markets tumble,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109011500-T455,20240109011500,tarunbharat.com,https://www.tarunbharat.com/the-market-capitalization-of-the-leading-6-companies-decreased-by-57-thousand-crores/,The market capitalization of the leading 6 companies decreased by 57 thousand crores,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109034500-1393,20240109034500,tmcnet.com,https://www.tmcnet.com/usubmit/2024/01/08/9942397.htm,"Connected Logistics Market size to increase by USD 62.29 billion during 2023-2027, Effective management of temperature-sensitive products to drive the growth",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109050000-879,20240109050000,hindustantimes.com,https://www.hindustantimes.com/business/sensex-opens-456-points-higher-at-71-811-nifty-at-21667-101704770472329.html,"Sensex opens 493 points higher at 71,849, Nifty at 21,674",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109050000-142,20240109050000,tmcnet.com,https://www.tmcnet.com/usubmit/2024/01/08/9942488.htm,"Healthcare BPO Market size to grow by USD 12.90 billion from 2022 to 2027, Growth Driven by the presence of skilled professionals",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109051500-654,20240109051500,thehindu.com,https://www.thehindu.com/business/markets/markets-rebound-sharply-in-early-trade-on-firm-global-trends/article67722049.ece,Markets rebound sharply in early trade on firm global trends,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109051500-179,20240109051500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/106654440.cms,active stocks: Share market update: Most active stocks of the day in terms of total traded value,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109053000-51,20240109053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/106655096.cms,Stock Market Sectors: Stock market update: Fertilisers stocks up as market rises,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109053000-124,20240109053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/106654951.cms,Stock Market Sectors: Stock market update: Mining stocks up as market rises,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109061500-157,20240109061500,prnewswire.com,https://www.prnewswire.com/news-releases/healthcare-bpo-market-size-to-grow-by-usd-12-90-billion-from-2022-to-2027--growth-driven-by-the-presence-of-skilled-professionals---technavio-302027967.html,"Healthcare BPO Market size to grow by USD 12.90 billion from 2022 to 2027, Growth Driven by the presence of skilled professionals",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109063000-637,20240109063000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-jumps-over-493-points-to-71848-in-early-trade-nifty-climbs-160-points-to-21673/cid/1992529,"Stock market | Sensex jumps over 493 points to 71,848 in early trade; Nifty climbs 160 points to 21,673",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109063000-558,20240109063000,businessinsider.com,https://markets.businessinsider.com/news/stocks/gautham-mohandas-received-the-2024-global-recognition-award-1032952021,Gautham Mohandas Received the 2024 Global Recognition Award,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109064500-71,20240109064500,telegraphindia.com,https://www.telegraphindia.com/business/sensex-jumps-over-493-points-to-71848-in-early-trade-nifty-climbs-160-points-to-21673/cid/1992529,"Stock market | Sensex jumps over 493 points to 71,848 in early trade; Nifty climbs 160 points to 21,673",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109070000-793,20240109070000,moneycontrol.com,https://www.moneycontrol.com/news/business/markets/tech-stocks-gain-ahead-of-q3-earnings-nifty-it-index-rises-1-2-12021251.html,"Tech stocks gain ahead of Q3 earnings, Nifty IT index rises 1.2%",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109074500-126,20240109074500,developingtelecoms.com,https://developingtelecoms.com/telecom-technology/wireless-networks/16031-bsnl-prioritises-4g-rollout-in-2024-as-5g-pushed-back-to-next-year.html,BSNL prioritises 4G rollout in 2024 as 5G pushed back to next year,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109080000-188,20240109080000,indiainfoline.com,https://www.indiainfoline.com/article/earnings-preview/q-fy-preview-tata-consultancy-services-revenues-seen-at-rs-million-pat-at-rs-million-1704777417206_1.html,"Q3FY24 Preview: Tata Consultancy Services: Revenues seen at Rs. 592,446 million, PAT at Rs. 120,762 million",NARROW_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109090000-758,20240109090000,moneycontrol.com,https://www.moneycontrol.com/news/technology/tcs-q3-earnings-5-things-to-watch-out-for-12022371.html,TCS Q3 Earnings Preview: 5 things to watch out for,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109090000-T35,20240109090000,quote.rbc.ru,https://quote.rbc.ru/news/article/659cc7329a7947a625eb737d,"Акции TCS Group, дивгэп «Татнефти», индекс Мосбиржи: дайджест инвестора",BROAD_ONLY,NOT_RELEVANT,Foreign corporate/sports entity collision
20240109101500-1098,20240109101500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-q3-preview-dollar-revenue-likely-to-decline-qoq-for-second-straight-quarter-amid-weak-demand/articleshow/106665069.cms,TCS Q3 Preview: Dollar revenue likely to decline QoQ for second straight quarter amid weak demand,BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109113000-904,20240109113000,financialexpress.com,https://www.financialexpress.com/business/industry-q3-results-this-week-from-tcs-infosys-hcl-tech-to-wipro-here-are-key-earnings-to-watch-out-for-3359598/,"Q3 results this week: From TCS, Infosys, HCL Tech to Wipro, here are key earnings to watch out for",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109121500-963,20240109121500,livemint.com,https://www.livemint.com/companies/company-results/tcs-q3-results-preview-expect-muted-earnings-growth-deal-wins-outlook-on-near-term-demand-to-be-in-focus-11704800876380.html,"TCS Q3 Results Preview: Expect muted earnings growth; deal wins, outlook on near-term demand to be in focus",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109124500-1020,20240109124500,businesstoday.in,https://www.businesstoday.in/markets/stocks/story/tcs-vs-infosys-q3-results-on-thursday-january-11-earnings-timings-previews-what-to-watch-412461-2024-01-09,"TCS vs Infosys: Q3 results on Thursday, January 11; earnings timings, previews & what to watch",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109133000-1538,20240109133000,indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/former-tcs-executive-director-phiroz-vandrevala-passes-away-at-70/articleshow/106671616.cms,phiroz vandrevala: Former TCS executive director Phiroz Vandrevala passes away at 70,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109140000-1361,20240109140000,zawya.com,https://www.zawya.com/wealth/alternative-investments/abu-dhabis-lunate-capital-launches-first-shariah-compliant-india-etf-a5bt3p0f,Abu Dhabi's Lunate Capital launches first Shariah-compliant India ETF,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109141500-1526,20240109141500,staffingindustry.com,https://www2.staffingindustry.com/row/Editorial/Daily-News/Wipro-says-exec-noncompete-agreements-include-nine-rivals-Hindustan-Times-67978,Wipro says exec noncompete agreements include nine rivals (Hindustan Times),NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109161500-650,20240109161500,moneycontrol.com,https://www.moneycontrol.com/news/technology/former-tcs-director-and-past-nasscom-chairman-phiroz-vandrevala-dies-12025001.html,Former TCS director and past Nasscom chairman Phiroz Vandrevala dies,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109164500-597,20240109164500,siliconrepublic.com,https://www.siliconrepublic.com/enterprise/tcs-tim-kelley-cybersecurity-trends-2024,What are this year's biggest cybersecurity trends?,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240109170000-2053,20240109170000,thehindu.com,https://www.thehindu.com/business/tcs-former-director-phiroz-vandrevala-passes-away/article67724209.ece,TCS former director Phiroz Vandrevala passes away,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240109184500-T1451,20240109184500,vikatan.com,https://www.vikatan.com/personal-finance/share-market/tcs-infosys-hcl-key-support-resistance-levels-of-it-companies,"Vikatan Digital Exclusive - 01 December 2023 - டி.சி.எஸ், இன்ஃபோசிஸ், ஹெச்.சி.எல்: ஐடி நிறுவனங்களின் முக்கிய லெவல்... கவனிக்க வேண்டிய அம்சங்கள்! | TCS, Infosys, HCL: Key Support & Resistance Levels of IT companies",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110001500-T494,20240110001500,loksatta.com,https://www.loksatta.com/nagpur/relative-merit-list-of-employee-of-tcs-company-nagpur-amy-95-4148979/,'टीसीएस' कंपनीच्या कर्मचाऱ्याचे नातलग गुणवत्ता यादीत | Relative merit list of employee of TCS company Nagpur,BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110024500-1273,20240110024500,moneycontrol.com,https://www.moneycontrol.com/news/technology/tcs-independent-director-daniel-hughes-callahans-term-ends-today-12025521.html,TCS independent director Daniel Hughes Callahan's term ends today,OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110024500-1044,20240110024500,yourstory.com,https://yourstory.com:443/enterprise-story/2024/01/indian-it-services-companies-q3-fy24-muted-growth,Indian IT services companies set for muted growth in Q3,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110031500-1011,20240110031500,trussvilletribune.com,https://www.trussvilletribune.com/2024/01/09/tcs-superintendent-dr-patrick-martin-to-give-state-of-the-schools-address-at-chamber-meeting/,TCS Superintendent Dr. Patrick Martin to give State of the Schools Address at chamber meeting,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110033000-438,20240110033000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/big-movers-on-d-street-what-should-investors-do-with-tcs-titan-and-godrej-consumer/articleshow/106681289.cms,"Big movers on D-Street: What should investors do with TCS, Titan and Godrej Consumer?",BROAD_ONLY,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110040000-51,20240110040000,yourstory.com,https://social.yourstory.com:443/enterprise-story/2024/01/indian-it-services-companies-q3-fy24-muted-growth,Indian IT services companies set for muted growth in Q3,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110043000-957,20240110043000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-10-january-2024/article67724321.ece,"Stock Market Live Updates: Sensex, Nifty open weak amidst lack of positive cues",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110044500-252,20240110044500,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/sensex-nifty-braced-for-weak-opening-as-global-markets-remain-unsteady/article67725752.ece,"Sensex, Nifty braced for weak opening as global markets remain unsteady",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110050000-150,20240110050000,yourstory.com,https://her.yourstory.com:443/enterprise-story/2024/01/indian-it-services-companies-q3-fy24-muted-growth,Indian IT services companies set for muted growth in Q3,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110053000-1115,20240110053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-falls/articleshow/106686084.cms,Stock Market Sectors: Stock market update: Fertilisers stocks down as market falls,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110053000-236,20240110053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-down-as-market-rises/articleshow/106685738.cms,Stock Market Sectors: Stock market update: Mining stocks down as market rises,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110053000-904,20240110053000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-advances-0-2-in-an-upbeat-market/articleshow/106685913.cms,Indices: Stock market update: Nifty IT index advances 0.2% in an upbeat market,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110054500-1053,20240110054500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-q3-preview-higher-furloughs-to-weigh-on-sales-pat-growth-demand-outlook-critical/articleshow/106686604.cms,"TCS Q3 Preview: Higher furloughs to weigh on sales, PAT growth; demand outlook critical",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110054500-T861,20240110054500,prabhatkhabar.com,https://www.prabhatkhabar.com/business/sensex-nifty-update-flat-opening-of-stock-market-ntpc-power-grid-bajaj-finserv-state-bank-of-india-jsw-steel-mdn,"sensex nifty update flat opening of stock market ntpc power grid bajaj finserv state bank of india jsw steel mdn | Stock Market: शेयर बाजार की सपाट ओपनिंग, निफ्टी फिसला, सेंसेक्स 71400 के करीब",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110060000-202,20240110060000,thehindu.com,https://www.thehindu.com/business/markets/sensex-updates-on-january-10-2024/article67725862.ece,Markets decline in early trade on fresh foreign fund outflows,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110061500-36,20240110061500,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/106687806.cms,Stock Market Sectors: Stock market update: Power stocks up as market rises,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110063000-119,20240110063000,indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106687938.cms,Stock Market Sectors: Stock market update: Sugar stocks down as market rises,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110063000-365,20240110063000,latestly.com,https://www.latestly.com/agency-news/india-news-markets-decline-in-early-trade-on-fresh-foreign-fund-outflows-weak-global-trends-5682721.html,"India News | Markets Decline in Early Trade on Fresh Foreign Fund Outflows, Weak Global Trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110070000-483,20240110070000,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sensex-declines-over-81-points-to-71304-in-early-trade-nifty-dips-27-points-to-21517/cid/1992772,"Stock market | Sensex declines over 81 points to 71,304 in early trade; Nifty dips 27 points to 21,517",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110070000-972,20240110070000,livelaw.in,https://www.livelaw.in/round-ups/yearly/2023-annual-digest-of-direct-tax-cases-itat-246291,2023 Annual Digest Of Direct Tax Cases: ITAT,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110073000-100,20240110073000,tribuneindia.com,https://www.tribuneindia.com/news/business/markets-decline-in-early-trade-on-fresh-foreign-fund-outflows-weak-global-trends-580013,"Markets decline in early trade on fresh foreign fund outflows, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110080000-911,20240110080000,india.com,https://zeenews.india.com/markets/markets-decline-in-early-trade-on-fresh-foreign-fund-outflows-weak-global-trends-2708122.html,"Markets Decline In Early Trade On Fresh Foreign Fund Outflows, Weak Global Trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110090000-262,20240110090000,telegraphindia.com,https://www.telegraphindia.com/business/sensex-declines-over-81-points-to-71304-in-early-trade-nifty-dips-27-points-to-21517/cid/1992772,"Stock market | Sensex declines over 81 points to 71,304 in early trade; Nifty dips 27 points to 21,517",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110090000-111,20240110090000,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/markets-decline-in-early-trade-on-fresh-foreign-fund-outflows-weak-global-trends/article67725859.ece,"Markets decline in early trade on fresh foreign fund outflows, weak global trends",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110094500-67,20240110094500,businesstoday.in,https://www.businesstoday.in/markets/company-stock/story/infosys-q3-results-will-the-it-major-cut-fy24-guidance-for-3rd-time-412626-2024-01-10,Infosys Q3 results: Will the IT major cut FY24 guidance for 3rd time?,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110101500-1047,20240110101500,moneycontrol.com,https://www.moneycontrol.com/news/business/earnings/selling-pressure-in-it-stocks-ahead-of-infy-tcs-results-heres-how-traders-position-the-market-12027841.html,"Selling pressure in IT stocks ahead of Infy, TCS results; here's how traders position the market",OVERLAP,DIRECTLY_RELEVANT,"Relevant to Tata Consultancy Services corporate performance, operations, IT deals, workforce, or governance."
20240110104500-787,20240110104500,bnnbloomberg.ca,https://www.bnnbloomberg.ca/tech-s-growth-woes-pose-a-risk-to-india-stocks-sizzling-rally-1.2020091,Tech's Growth Woes Pose a Risk to India Stocks' Sizzling Rally,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110113000-1150,20240110113000,foxbusiness.com,https://www.foxbusiness.com/economy/number-high-paying-job-opportunities-is-dwindling,The number of high-paying job opportunities is dwindling,NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110113000-T2472,20240110113000,polizeinews.ch,https://www.polizeinews.ch/tcs-kilometerkosten-sinken-fuer-das-jahr-2024-um-drei-rappen/,TCS – Kilometerkosten sinken für das Jahr 2024 um drei Rappen – Polizeinews.ch,BROAD_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
20240110114500-1211,20240110114500,thehindu.com,https://www.thehindu.com/business/markets/late-buying-helps-sensex-jump-270-points-ril-icici-bank-shine/article67726728.ece,"Late buying helps Sensex jump 270 points; RIL, ICICI Bank shine",NARROW_ONLY,NOT_RELEVANT,Unrelated mention or foreign acronym noise
